layer,neuron,activation,dropout,optimizer,learning rate,L1/L2,momentum,r2_error
2,40,relu,0.4,SGD,0.0005,0,0.9,0.619297911
2,40,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.67066575
2,40,tanh,0.4,SGD,0.01,0,0.9,0.55290022
2,40,tanh,0.4,SGD,0.01,1.00E-05,0.9,0.521367394
2,40,tanh,0.4,SGD,0.001,0,0.9,0.558077256
2,40,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.567091196
2,40,tanh,0.4,SGD,0.0005,0,0.9,0.531287111
2,40,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.573194868
2,80,relu,0.2,SGD,0.01,0,0.9,0.745567462
2,80,relu,0.2,SGD,0.01,1.00E-05,0.9,0.729484334
2,80,relu,0.2,SGD,0.001,0,0.9,0.712500622
2,80,relu,0.2,SGD,0.001,1.00E-05,0.9,0.721222663
2,80,relu,0.2,SGD,0.0005,0,0.9,0.686700638
2,80,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.695705905
2,80,tanh,0.2,SGD,0.01,0,0.9,0.690830035
2,80,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.648256488
2,80,tanh,0.2,SGD,0.001,0,0.9,0.649461407
2,80,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.630561434
2,80,tanh,0.2,SGD,0.0005,0,0.9,0.581084629
2,80,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.561913964
2,80,relu,0.4,SGD,0.01,0,0.9,0.712126993
2,80,relu,0.4,SGD,0.01,1.00E-05,0.9,0.680179191
2,80,relu,0.4,SGD,0.001,0,0.9,0.685319978
2,80,relu,0.4,SGD,0.001,1.00E-05,0.9,0.674031756
2,80,relu,0.4,SGD,0.0005,0,0.9,0.67117913
2,80,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.674374912
2,80,tanh,0.4,SGD,0.01,0,0.9,0.652825775
2,80,tanh,0.4,SGD,0.01,1.00E-05,0.9,0.612115915
2,80,tanh,0.4,SGD,0.001,0,0.9,0.38705971
2,80,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.471152527
2,80,tanh,0.4,SGD,0.0005,0,0.9,0.437133115
2,80,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.42525779
2,120,relu,0.2,SGD,0.01,0,0.9,0.727345817
2,120,relu,0.2,SGD,0.01,1.00E-05,0.9,0.733350956
2,120,relu,0.2,SGD,0.001,0,0.9,0.725162584
2,120,relu,0.2,SGD,0.001,1.00E-05,0.9,0.727775409
2,120,relu,0.2,SGD,0.0005,0,0.9,0.706564447
2,120,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.702473164
2,120,tanh,0.2,SGD,0.01,0,0.9,0.660959514
2,120,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.70960396
2,120,tanh,0.2,SGD,0.001,0,0.9,0.581023771
2,120,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.642569295
2,120,tanh,0.2,SGD,0.0005,0,0.9,0.571889318
2,120,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.521775735
2,120,relu,0.4,SGD,0.01,0,0.9,-1
2,120,relu,0.4,SGD,0.01,1.00E-05,0.9,-1
2,120,relu,0.4,SGD,0.001,0,0.9,0.70227097
2,120,relu,0.4,SGD,0.001,1.00E-05,0.9,0.702421301
2,120,relu,0.4,SGD,0.0005,0,0.9,0.672610103
2,120,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.699511823
2,120,tanh,0.4,SGD,0.01,0,0.9,0.614557176
2,120,tanh,0.4,SGD,0.01,1.00E-05,0.9,0.567111217
2,120,tanh,0.4,SGD,0.001,0,0.9,0.552785032
2,120,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.485988969
2,120,tanh,0.4,SGD,0.0005,0,0.9,0.253521889
2,120,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.449985936
4,40,relu,0.2,SGD,0.01,0,0.9,0.694569702
4,40,relu,0.2,SGD,0.01,1.00E-05,0.9,0.671031803
4,40,relu,0.2,SGD,0.001,0,0.9,0.726472283
4,40,relu,0.2,SGD,0.001,1.00E-05,0.9,0.718325447
4,40,relu,0.2,SGD,0.0005,0,0.9,0.69486295
4,40,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.698686865
4,40,tanh,0.2,SGD,0.01,0,0.9,0.656878235
4,40,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.619963796
4,40,tanh,0.2,SGD,0.001,0,0.9,0.681516047
4,40,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.684358349
4,40,tanh,0.2,SGD,0.0005,0,0.9,0.673412565
4,40,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.669713411
4,40,relu,0.4,SGD,0.01,0,0.9,0.657386927
4,40,relu,0.4,SGD,0.01,1.00E-05,0.9,0.546699262
4,40,relu,0.4,SGD,0.001,0,0.9,0.670222348
4,40,relu,0.4,SGD,0.001,1.00E-05,0.9,0.678287074
4,40,relu,0.4,SGD,0.0005,0,0.9,0.63686929
4,40,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.632120562
4,40,tanh,0.4,SGD,0.01,0,0.9,0.131827767
4,40,tanh,0.4,SGD,0.01,1.00E-05,0.9,0.11788376
4,40,tanh,0.4,SGD,0.001,0,0.9,0.518586136
4,40,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.474283569
4,40,tanh,0.4,SGD,0.0005,0,0.9,0.559299181
4,40,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.547293253
4,80,relu,0.2,SGD,0.01,0,0.9,0.772540802
4,80,relu,0.2,SGD,0.01,1.00E-05,0.9,0.741606823
4,80,relu,0.2,SGD,0.001,0,0.9,0.724747924
4,80,relu,0.2,SGD,0.001,1.00E-05,0.9,0.741609518
4,80,relu,0.2,SGD,0.0005,0,0.9,0.711209412
4,80,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.713976086
4,80,tanh,0.2,SGD,0.01,0,0.9,0.650597238
4,80,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.695296713
4,80,tanh,0.2,SGD,0.001,0,0.9,0.666866333
4,80,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.666016355
4,80,tanh,0.2,SGD,0.0005,0,0.9,0.576235545
4,80,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.591891925
4,80,relu,0.4,SGD,0.01,0,0.9,0.664365489
4,80,relu,0.4,SGD,0.01,1.00E-05,0.9,0.550545203
4,80,relu,0.4,SGD,0.001,0,0.9,0.710130827
4,80,relu,0.4,SGD,0.001,1.00E-05,0.9,0.697359274
4,80,relu,0.4,SGD,0.0005,0,0.9,0.665289731
4,80,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.684485819
4,80,tanh,0.4,SGD,0.01,0,0.9,0.353241715
4,80,tanh,0.4,SGD,0.01,1.00E-05,0.9,-0.11569778
4,80,tanh,0.4,SGD,0.001,0,0.9,0.375454684
4,80,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.394381067
4,80,tanh,0.4,SGD,0.0005,0,0.9,0.433142949
4,80,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.440813469
4,120,relu,0.2,SGD,0.01,0,0.9,0.76788864
4,120,relu,0.2,SGD,0.01,1.00E-05,0.9,0.742772677
4,120,relu,0.2,SGD,0.001,0,0.9,0.737422129
4,120,relu,0.2,SGD,0.001,1.00E-05,0.9,0.727425446
4,120,relu,0.2,SGD,0.0005,0,0.9,0.716962595
4,120,relu,0.2,SGD,0.0005,1.00E-05,0.9,0.728907519
4,120,tanh,0.2,SGD,0.01,0,0.9,0.63308037
4,120,tanh,0.2,SGD,0.01,1.00E-05,0.9,0.596292752
4,120,tanh,0.2,SGD,0.001,0,0.9,0.642857708
4,120,tanh,0.2,SGD,0.001,1.00E-05,0.9,0.637396477
4,120,tanh,0.2,SGD,0.0005,0,0.9,0.11311034
4,120,tanh,0.2,SGD,0.0005,1.00E-05,0.9,0.11375904
4,120,relu,0.4,SGD,0.01,0,0.9,0.702634965
4,120,relu,0.4,SGD,0.01,1.00E-05,0.9,0.68323493
4,120,relu,0.4,SGD,0.001,0,0.9,0.696759007
4,120,relu,0.4,SGD,0.001,1.00E-05,0.9,0.698878779
4,120,relu,0.4,SGD,0.0005,0,0.9,0.676012956
4,120,relu,0.4,SGD,0.0005,1.00E-05,0.9,0.679288606
4,120,tanh,0.4,SGD,0.01,0,0.9,0.506666923
4,120,tanh,0.4,SGD,0.01,1.00E-05,0.9,0.393628798
4,120,tanh,0.4,SGD,0.001,0,0.9,0.358318032
4,120,tanh,0.4,SGD,0.001,1.00E-05,0.9,0.423970252
4,120,tanh,0.4,SGD,0.0005,0,0.9,0.319924252
4,120,tanh,0.4,SGD,0.0005,1.00E-05,0.9,0.407131622
6,40,relu,0.2,SGD,0.01,0,0.9,0.683739132
6,40,relu,0.2,SGD,0.01,1.00E-05,0.9,0.729506853
